publisher,city,country
TDK Mediactive,"Westlake Village, California",United States
Team17,"Wakefield, England",United Kingdom
Team Shanghai Alice,,Japan
Techland,Ostrów Wielkopolski,Poland
Technical Group Laboratory,Osaka,Japan
Technology and Entertainment Software,,Japan
Technosoft,"Sasebo, Nagasaki",Japan
Technos Japan,Tokyo,Japan
TecMagik,California,United States
Tecmo,,Japan
Tectoy,São Paulo,Brazil
Telarium,"Cambridge, Massachusetts",United States
Telesys,"Fremont, California",United States
Telenet Japan,,Japan
Telltale Games,"San Rafael, California",United States
Tencent,Shenzhen,China
Tengen,"Milpitas, California",United States
Texas Instruments,"Dallas, Texas",United States
Thalamus Ltd,"London, England",United Kingdom
Thalion Software,Gütersloh,Germany
The9,Shanghai,China
The Learning Company,"San Francisco, California",United States
Thin Chen Enterprise,Taipei,Taiwan
Thinking Rabbit,Takarazuka,Japan
THQ,"Agoura Hills, California",United States
THQ Nordic,,Austria
Thorn EMI Computer Software,"London, England",United Kingdom
Three-Sixty Pacific,,United States
Tiertex Design Studios,Manchester,United Kingdom
Tiger Electronics,"Vernon Hills, Illinois",United States
Tilting Point,New York City,United States
Time Warner Interactive,"Milpitas, California",United States
Timeworks,Deerfield,Illinois
Titus Interactive,,France
Toaplan,,Japan
Toei Animation,Tokyo,Japan
Toho,Tokyo,Japan
Tokuma Shoten,Tokyo,Japan
Tokyo Shoseki,Tokyo,Japan
Tomy (Takara Tomy),Tokyo,Japan
Tommo,City of Industry,California
Tonkin House,Tokyo,Japan
Topologika,Stilton,United Kingdom
Topo Soft,,Spain
TopWare Interactive,Karlsruhe,Germany
Toshiba EMI,Tokyo,Japan
Towa Chiki,Tokyo,Japan
Tradewest,"Corsicana, Texas",United States
Treco,Torrance,California
Triangle Service,Tokyo,Japan
Trilobyte Software,"Medford, Oregon",United States
Tripwire Interactive,"Roswell, Georgia",United States
Tri Synergy,"Dallas, Texas",United States
Tru Blu Entertainment,Sydney,Australia
"TSR, Inc.","Lake Geneva, Wisconsin",United States
Tsunami Games,"Oakhurst, California",United States
TT Games,"Maidenhead, England",United Kingdom
Twilight Frontier,,Japan
Tynesoft,Blaydon,United Kingdom
Type-Moon,,Japan
Ubisoft,Montreuil-sous-Bois,France
UEP Systems,Tokyo,Japan
UFO Interactive Games,City of Industry,California
Ultimate Play the Game,Ashby-de-la-Zouch,United Kingdom
Ultrasoft,Bratislava,Slovakia
Ultra Games,"Buffalo Grove, Illinois",United States
United States Army,"Arlington, Virginia",United States
Universal Entertainment Corporation,,Japan
UserJoy Technology,,Taiwan
US Games,"Santa Clara, California",United States
Valve,"Bellevue, Washington",United States
VAP,Tokyo,Japan
Varie,,Japan
VEB Polytechnik,Chemnitz,Germany
Vectorbeam,California,United States
Versus Evil,"Baltimore, Maryland",United States
Viacom,New York City,United States
Victor Interactive,,Japan
Vic Tokai,Shizuoka,Japan
Virgin Interactive,"London, England",United Kingdom
Virgin Play,,Spain
Visco Corporation,,Japan
VisiCorp,Massachusetts,United States
The Vision Factory,Den Bosch,The Netherlands
VisualArt's,Osaka,Japan
Vivarium Inc.,Tokyo,Japan
Vivendi Games,Los Angeles,California United States
Vortex Software,Manchester,United Kingdom
Vulcan Software,Cotswolds,United Kingdom
Wales Interactive,"Bridgend, Wales",United Kingdom
Walnut Creek CDROM,"Walnut Creek, California",United States
Wanadoo Edition,Paris,France
Warashi,Tokyo,Japan
Wargaming,Nicosia,Cyprus
Warner Bros. Interactive,"Burbank, California",United States
WARP,,Japan
Webfoot Technologies,"Lemont, Illinois",United States
Webzen,Seoul,South Korea
Wemade Max,,South Korea
WildTangent,"Redmond, Washington",United States
Williams Electronics,"Chicago, Illinois",United States
Windham Classics,"Cambridge, Massachusetts",United States
Wired Productions,Watford,United Kingdom
Wisdom Tree,"Tucson, Arizona",United States
WizardWorks,"Minneapolis, Minnesota",United States
Wolf Team,Tokyo,Japan
Working Designs,"Redding, California",United States
Xonox,Minnesota,United States
Xseed Games,"Torrance, California",United States
XS Games,"New York, New York",United States
Yeti,,Japan
Yodo1,Beijing,China
Yogscast Games,Bristol,United Kingdom
Yojigen,,Japan
Yuke's,Osaka,Japan
Yutaka,,Japan
Zaccaria,Bologna,Italy
ZAPiT Games,"Mississauga, Ontario",Canada
ZeniMax Media,,United States
Zenobi,Rochdale,United Kingdom
Zeppelin Games,Gateshead,United Kingdom
Zigurat,,Spain
ZiMAD,"San Francisco, California",United States
Zimag,,United States
Zoom,Sapporo,Japan
Zuxxez Entertainment,Karlsruhe,Germany
Zushi Games,"Sheffield, England",United Kingdom
Zynga,San Francisco,California
ZyX,,Japan
